SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,longitude,latitude
3314,Hobart,Abels Bay,TAS,7112,147.298271,-42.851114
3315,Hobart,Acton Park,TAS,7170,147.478745,-42.846729
3316,Hobart,Adventure Bay,TAS,7150,147.298271,-42.851114
3317,Hobart,Allens Rivulet,TAS,7150,147.31427,-42.843315
3318,Hobart,Alonnah,TAS,7150,147.282074,-42.77523
3319,Hobart,Andover,TAS,7120,147.298271,-42.851114
3320,Hobart,Antill Ponds,TAS,7120,147.320267,-42.891094
3321,Hobart,Apslawn,TAS,7190,147.298271,-42.851114
3322,Hobart,Apsley,TAS,7030,147.302383,-42.895096
3323,Hobart,Austins Ferry,TAS,7011,147.250534,-42.77602
3324,Hobart,Baden,TAS,7120,147.32074,-42.899231
3325,Hobart,Bagdad,TAS,7030,147.298271,-42.851114
3326,Hobart,Barnes Bay,TAS,7150,147.298271,-42.851114
3327,Hobart,Barretta,TAS,7054,147.269745,-42.839363
3328,Hobart,Battery Point,TAS,7004,147.333908,-42.88969
3329,Hobart,Bellerive,TAS,7018,147.372406,-42.874969
3330,Hobart,Berriedale,TAS,7011,147.254425,-42.809521
3331,Hobart,Birchs Bay,TAS,7162,147.311615,-42.835548
3332,Hobart,Black Hills,TAS,7140,147.078217,-42.725086
3333,Hobart,Blackmans Bay,TAS,7052,147.298271,-42.851114
3334,Hobart,Bonnet Hill,TAS,7053,147.409637,-42.859123
3335,Hobart,Bothwell,TAS,7030,147.298271,-42.851114
3336,Hobart,Boyer,TAS,7140,147.431778,-42.892143
3337,Hobart,Bradys Lake,TAS,7140,172.499115,-43.203854
3338,Hobart,Bream Creek,TAS,7175,147.298271,-42.851114
3339,Hobart,Bridgewater,TAS,7030,147.298271,-42.851114
3340,Hobart,Brighton,TAS,7030,147.408325,-42.878357
3341,Hobart,Broadmarsh,TAS,7030,147.298271,-42.851114
3342,Hobart,Bronte Park,TAS,7140,147.314224,-42.878216
3343,Hobart,Buckland,TAS,7190,147.523773,-42.985867
3344,Hobart,Bushy Park,TAS,7140,147.279434,-42.869343
3345,Hobart,Butlers Gorge,TAS,7140,147.298271,-42.851114
3346,Hobart,Cairns Bay,TAS,7116,174.804993,-41.319164
3347,Hobart,Cambridge,TAS,7170,147.454086,-42.833851
3348,Hobart,Campania,TAS,7026,147.298271,-42.851114
3349,Hobart,Carlton,TAS,7173,147.298874,-42.865578
3350,Hobart,Casey,TAS,7151,147.298271,-42.851114
3351,Hobart,Castle Forbes Bay,TAS,7116,147.298271,-42.851114
3352,Hobart,Catamaran,TAS,7109,147.298271,-42.851114
3353,Hobart,Chigwell,TAS,7011,147.243622,-42.809441
3354,Hobart,Claremont,TAS,7011,147.245819,-42.78857
3355,Hobart,Clarendon Vale,TAS,7019,147.441971,-42.890739
3356,Hobart,Clifton Beach,TAS,7020,147.503067,-42.964123
3357,Hobart,Colebrook,TAS,7027,147.291565,-42.862045
3358,Hobart,Collinsvale,TAS,7012,147.225296,-42.818378
3359,Hobart,Coningham,TAS,7054,147.298271,-42.851114
3360,Hobart,Connellys Marsh,TAS,7173,147.298271,-42.851114
3361,Hobart,Copping,TAS,7174,147.298271,-42.851114
3362,Hobart,Crabtree,TAS,7109,147.097,-42.979065
3363,Hobart,Cradoc,TAS,7109,147.298271,-42.851114
3364,Hobart,Cranbrook,TAS,7190,147.298271,-42.851114
3365,Hobart,Cremorne,TAS,7024,147.506332,-42.952736
