SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE
3237,NEWCASTLE,Adamstown ,NSW,2289,151.725769,-32.934761
3238,NEWCASTLE,Adamstown Heights ,NSW,2289,151.708054,-32.946541
3239,NEWCASTLE,Bar Beach ,NSW,2300,151.768448,-32.93824
3240,NEWCASTLE,Beresfield ,NSW,2322,151.759232,-32.924297
3241,NEWCASTLE,Birmingham Gardens ,NSW,2287,151.684601,-32.892948
3242,NEWCASTLE,Black Hill ,NSW,2322,151.635605,-32.8372
3243,NEWCASTLE,Broadmeadow ,NSW,2292,151.731857,-32.9221
3244,NEWCASTLE,Carrington ,NSW,2294,151.766815,-32.912842
3245,NEWCASTLE,Cooks Hill ,NSW,2300,151.767975,-32.931938
3246,NEWCASTLE,Elermore Vale ,NSW,2287,151.673111,-32.915291
3247,NEWCASTLE,Fletcher ,NSW,2287,151.639847,-32.875149
3248,NEWCASTLE,Georgetown ,NSW,2298,151.730667,-32.908669
3249,NEWCASTLE,Hamilton ,NSW,2303,151.746994,-32.923489
3250,NEWCASTLE,Hamilton East ,NSW,2303,151.754562,-32.92712
3251,NEWCASTLE,Hamilton North ,NSW,2292,151.735733,-32.91597
3252,NEWCASTLE,Hamilton South ,NSW,2303,151.747574,-32.932381
3253,NEWCASTLE,Hexham ,NSW,2322,151.685623,-32.827869
3254,NEWCASTLE,The Hill ,NSW,2300,151.77655,-32.931549
3255,NEWCASTLE,Islington ,NSW,2296,151.747696,-32.914268
3256,NEWCASTLE,Jesmond ,NSW,2299,151.690842,-32.903389
3257,NEWCASTLE,The Junction ,NSW,2291,151.760254,-32.936852
3258,NEWCASTLE,Kooragang ,NSW,2304,151.764069,-32.881901
3259,NEWCASTLE,Kotara ,NSW,2289,151.710693,-32.940632
3260,NEWCASTLE,Lambton ,NSW,2299,151.705154,-32.910191
3261,NEWCASTLE,Lenaghan ,NSW,2322,151.632141,-32.84621
3262,NEWCASTLE,Maryland ,NSW,2287,151.662521,-32.881618
3263,NEWCASTLE,Maryville ,NSW,2293,151.754898,-32.912029
3264,NEWCASTLE,Mayfield ,NSW,2304,151.738266,-32.898628
3265,NEWCASTLE,Mayfield East ,NSW,2304,151.750717,-32.898258
3266,NEWCASTLE,Mayfield North ,NSW,2304,151.754074,-32.890209
3267,NEWCASTLE,Mayfield West ,NSW,2304,151.727554,-32.887989
3268,NEWCASTLE,Merewether ,NSW,2291,151.748962,-32.943359
3269,NEWCASTLE,Merewether Heights ,NSW,2291,151.732971,-32.947281
3270,NEWCASTLE,Minmi ,NSW,2287,151.614868,-32.882179
3271,NEWCASTLE,New Lambton ,NSW,2305,151.713913,-32.922131
3272,NEWCASTLE,New Lambton Heights ,NSW,2305,151.681107,-32.93037
3273,NEWCASTLE,Newcastle ,NSW,2300,151.781837,-32.930855
3274,NEWCASTLE,Newcastle East ,NSW,2300,151.788742,-32.92691
3275,NEWCASTLE,Newcastle West ,NSW,2302,151.760254,-32.92836
3276,NEWCASTLE,North Lambton ,NSW,2299,151.704346,-32.9035
3277,NEWCASTLE,Rankin Park ,NSW,2287,151.686783,-32.926529
3278,NEWCASTLE,Sandgate ,NSW,2304,151.704712,-32.86097
3279,NEWCASTLE,Shortland ,NSW,2307,151.700714,-32.871429
3280,NEWCASTLE,Stockton ,NSW,2295,151.784683,-32.915501
3281,NEWCASTLE,Tarro ,NSW,2322,151.684784,-32.969803
3282,NEWCASTLE,Tighes Hill ,NSW,2297,151.752914,-32.906658
3283,NEWCASTLE,Wallsend ,NSW,2287,151.668198,-32.903728
3284,NEWCASTLE,Warabrook ,NSW,2304,151.714462,-32.885891
3285,NEWCASTLE,Waratah ,NSW,2298,151.722855,-32.904209
3286,NEWCASTLE,Waratah West ,NSW,2298,151.711594,-32.899529
3287,NEWCASTLE,Wickham,NSW,2293,151.757431,-32.919399
3288,NEWCASTLE,Newcastle cbd,NSW,2300,150.139,-32.831026
3289,NEWCASTLE,Williamtown,NSW,2318,151.85,-32.804779
