SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE
2761,PERTH,Alexander Heights,WA,6064,115.853439,-31.831051
2762,PERTH,Alfred Cove,WA,6154,115.815659,-32.031559
2763,PERTH,Alkimos,WA,6038,115.912231,-31.924074
2764,PERTH,Anketell,WA,6167,115.885612,-31.982227
2765,PERTH,Applecross,WA,6153,115.834808,-32.010342
2766,PERTH,Ardross,WA,6153,115.835533,-32.02055
2767,PERTH,Armadale,WA,6112,116.020576,-32.151001
2768,PERTH,Ascot,WA,6104,115.943932,-31.93074
2769,PERTH,Ashby,WA,6065,115.800423,-31.737789
2770,PERTH,Ashfield,WA,6054,115.934822,-31.914221
2771,PERTH,Attadale,WA,6156,115.802322,-32.02636
2772,PERTH,Atwell,WA,6164,115.86554,-32.146019
2773,PERTH,Aubin Grove,WA,6164,115.852215,-32.131229
2774,PERTH,Australind,WA,6233,115.771873,-31.981272
2775,PERTH,Balcatta,WA,6021,115.828346,-31.87315
2776,PERTH,Baldivis,WA,6171,115.830406,-32.056938
2777,PERTH,Balga,WA,6061,115.837784,-31.8557
2778,PERTH,Ballajura,WA,6066,115.890999,-31.83614
2779,PERTH,Banjup,WA,6164,115.727699,-31.692505
2780,PERTH,Banksia Grove,WA,6031,115.806038,-31.703461
2781,PERTH,Banksiadale,WA,6213,115.863243,-31.87505
2782,PERTH,Barragup,WA,6210,115.912231,-31.924074
2783,PERTH,Baskerville,WA,6056,116.050022,-31.86238
2784,PERTH,Bassendean,WA,6054,115.942169,-31.908039
2785,PERTH,Bateman,WA,6150,115.843323,-32.054428
2786,PERTH,Bayswater,WA,6053,115.920052,-31.923901
2787,PERTH,Beaconsfield,WA,6162,115.773621,-32.067139
2788,PERTH,Beckenham,WA,6107,115.953796,-32.028099
2789,PERTH,Bedford,WA,6052,115.894051,-31.915159
2790,PERTH,Bedfordale,WA,6112,116.018311,-32.159092
2791,PERTH,Beechboro,WA,6063,115.927818,-31.86779
2792,PERTH,Beeliar,WA,6164,115.80304,-32.129131
2793,PERTH,Beldon,WA,6027,115.763489,-31.774521
2794,PERTH,Belhus,WA,6069,115.754608,-31.86935
2795,PERTH,Bellevue,WA,6056,116.02076,-31.899099
2796,PERTH,Belmont,WA,6104,115.931351,-31.94421
2797,PERTH,Bentley,WA,6102,115.917778,-32.002781
2798,PERTH,Bertram,WA,6167,115.912231,-31.924074
2799,PERTH,Bibra Lake,WA,6163,115.812401,-32.08992
2800,PERTH,Bickley,WA,6076,116.098846,-32.001621
2801,PERTH,Bicton,WA,6157,115.78524,-32.029911
2802,PERTH,Binningup,WA,6233,115.905357,-32.009567
2803,PERTH,Birchmont,WA,6214,115.912231,-31.924074
2804,PERTH,Blythewood,WA,6208,115.775291,-31.770802
2805,PERTH,Booragoon,WA,6154,115.83239,-32.035999
2806,PERTH,Bouvard,WA,6210,115.809349,-31.822985
2807,PERTH,Boya,WA,6056,116.049026,-31.91889
