SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE;;;
1,Sydney,Abbotsbury,NSW,2176,150.867523,-33.873009;;;
2,Sydney,Abbotsford,NSW,2046,151.128555,-33.850632;;;
3,Sydney,Acacia;Gardens,NSW,2763,150.912964,-33.732738;;
4,Sydney,Alexandria,NSW,2015,151.196274,-33.913582;;;
5,Sydney,Agnes;Banks,NSW,2753,150.699982,-33.62237;;
6,Sydney,Allambie;Heights,NSW,2100,151.251556,-33.765591;;
7,Sydney,Airds,NSW,2560,150.829041,-34.084469;;;
8,Sydney,Allawah,NSW,2218,151.116364,-33.970699;;;
9,Sydney,Annandale,NSW,2038,151.171234,-33.880219;;;
10,Sydney,Alfords;Point,NSW,2234,151.024719,-33.993469;;
11,Sydney,Annangrove,NSW,2156,150.948547,-33.663467;;;
12,Sydney,Arcadia,NSW,2159,150.929871,-33.883875;;;
13,Sydney,Arncliffe,NSW,2205,151.146637,-33.937092;;;
14,Sydney,Ambarvale,NSW,2560,150.802429,-34.08387;;;
15,Sydney,Arndell;Park,NSW,2148,150.850403,-34.035496;;
16,Sydney,Artarmon,NSW,2064,151.183792,-33.808201;;;
17,Sydney,Ashbury,NSW,2193,151.120667,-33.898811;;;
18,Sydney,Appin,NSW,2560,150.815857,-34.228836;;;
19,Sydney,Ashcroft,NSW,2168,150.900894,-33.91621;;;
20,Sydney,Ashfield,NSW,2131,151.125412,-33.88921;;;
21,Sydney,Asquith,NSW,2077,151.109497,-33.688679;;;
22,Sydney,Auburn,NSW,2144,151.029343,-33.849258;;;
23,Sydney,Austral,NSW,2171,150.816803,-33.761391;;;
24,Sydney,Avalon,NSW,2107,151.331726,-33.628639;;;
26,Sydney,Balgowlah,NSW,2093,151.261581,-33.79393;;;
27,Sydney,Balgowlah;Heights,NSW,2093,151.262024,-33.804981;;
28,Sydney,Balmain,NSW,2041,151.175995,-33.856022;;;
29,Sydney,Balmain;East,NSW,2041,151.191025,-33.857761;;
30,Sydney,Banksia,NSW,2216,151.141251,-33.945801;;;
31,Sydney,Badgerys;Creek,NSW,2171,150.73819,-33.899017;;
32,Sydney,Banksmeadow,NSW,2019,151.206711,-33.95742;;;
33,Sydney,Bankstown,NSW,2200,151.034164,-33.914791;;;
37,Sydney,Balmoral,NSW,2571,150.580818,-34.243176;;;
39,Sydney,Bangor,NSW,2234,151.029083,-34.018681;;;
41,Sydney,Bardwell;Park,NSW,2207,151.125473,-33.932098;;
42,Sydney,Bardwell;Valley,NSW,2207,151.13298,-33.937119;;
43,Sydney,Bass;Hill,NSW,2197,150.994934,-33.898529;;
45,Sydney,Baulkham;Hills,NSW,2153,150.989624,-33.757881;;
46,Sydney,Barden;Ridge,NSW,2234,151.006485,-34.030159;;
47,Sydney,Bayview,NSW,2104,151.294586,-33.656792;;;
48,Sydney,Beacon;Hill,NSW,2100,151.261246,-33.752548;;
49,Sydney,Beaconsfield,NSW,2015,151.200272,-33.913361;;;
50,Sydney,Bargo,NSW,2574,150.929871,-33.883875;;;
51,Sydney,Beaumont;Hills,NSW,2155,150.94136,-33.70499;;
52,Sydney,Barra;Brui,NSW,2075,150.959534,-33.75296;;
53,Sydney,Beecroft,NSW,2119,151.064835,-33.75032;;;
54,Sydney,Belfield,NSW,2191,151.085022,-33.904598;;;
55,Sydney,Bella;Vista,NSW,2153,150.955505,-33.737968;;
56,Sydney,Bellevue;Hill,NSW,2023,151.254318,-33.879089;;
57,Sydney,Belmore,NSW,2192,151.093155,-33.91922;;;
58,Sydney,Belrose,NSW,2085,151.220993,-33.729111;;;
60,Sydney,Beauty;Point,NSW,2546,151.23909,-33.809517;;
61,Sydney,Berala,NSW,2141,151.03363,-33.87067;;;
62,Sydney,Berowra,NSW,2081,151.150391,-33.622749;;;
64,Sydney,Belimbla;Park,NSW,2750,151.029495,-33.843151;;
65,Sydney,Berowra;Heights,NSW,2082,151.138336,-33.612209;;
66,Sydney,Berowra;Waters,NSW,2082,151.130524,-33.60358;;
67,Sydney,Berrilee,NSW,2159,151.137177,-33.732349;;;
68,Sydney,Beverley;Park,NSW,2217,151.132156,-33.97562;;
69,Sydney,Beverly;Hills,NSW,2209,151.079666,-33.947041;;
70,Sydney,Bexley,NSW,2207,151.124817,-33.951321;;;
71,Sydney,Berkshire;Park,NSW,2765,150.841301,-33.646545;;
72,Sydney,Bexley;North,NSW,2207,151.114197,-33.938549;;
74,Sydney,Bilgola,NSW,2107,151.324036,-33.642971;;;
75,Sydney,Birchgrove,NSW,2041,151.180984,-33.851871;;;
76,Sydney,Birrong,NSW,2143,151.020676,-33.892368;;;
77,Sydney,Blacktown,NSW,2148,150.908142,-33.772598;;;
79,Sydney,Blakehurst,NSW,2221,151.111664,-33.98785;;;
81,Sydney,Bickley;Vale,NSW,2570,150.700531,-33.78196;;
83,Sydney,Bidwill,NSW,2770,150.820923,-33.729149;;;
84,Sydney,Bondi,NSW,2026,151.263,-33.893799;;;
85,Sydney,Bondi;Beach,NSW,2026,151.277786,-33.888729;;
86,Sydney,Bilpin,NSW,2758,150.929871,-33.883875;;;
87,Sydney,Bondi;Junction,NSW,2022,151.247208,-33.89283;;
89,Sydney,Bonnyrigg,NSW,2177,150.883224,-33.89727;;;
90,Sydney,Blackett,NSW,2770,150.814255,-33.7402;;;
91,Sydney,Bonnyrigg;Heights,NSW,2177,150.869064,-33.889469;;
92,Sydney,Blackheath,NSW,2785,150.988815,-33.743187;;;
93,Sydney,Boronia;Park,NSW,2111,151.049683,-33.985313;;
94,Sydney,Bossley;Park,NSW,2176,150.883759,-33.859852;;
95,Sydney,Blair;Athol,NSW,2560,150.805161,-34.064301;;
96,Sydney,Botany,NSW,2019,151.196762,-33.945171;;;
97,Sydney,Blairmount,NSW,2559,150.799606,-34.04948;;;
98,Sydney,Breakfast;Point,NSW,2137,151.108856,-33.842239;;
99,Sydney,Brighton-le-sands,NSW,2216,151.155731,-33.96069;;;
100,Sydney,Blaxland,NSW,2460,150.929871,-33.883875;;;
101,Sydney,Broadway,NSW,2007,151.196503,-33.884369;;;
102,Sydney,Blaxlands;Ridge,NSW,2758,151.262787,-33.883953;;
103,Sydney,Bronte,NSW,2024,151.260513,-33.902931;;;
104,Sydney,Bligh;Park,NSW,2756,150.936905,-33.707417;;
105,Sydney,Brooklyn,NSW,2083,150.929871,-33.883875;;;
106,Sydney,Brookvale,NSW,2100,151.273941,-33.761189;;;
107,Sydney,Burwood,NSW,2134,151.103546,-33.87817;;;
108,Sydney,Burwood;Heights,NSW,2136,151.104324,-33.887959;;
109,Sydney,Bonnet;Bay,NSW,2226,151.055191,-34.0112;;
111,Sydney,Busby,NSW,2168,150.880859,-33.91077;;;
112,Sydney,Cabarita,NSW,2137,151.115326,-33.846111;;;
113,Sydney,Cabramatta,NSW,2166,150.938507,-33.895039;;;
114,Sydney,Cabramatta;West,NSW,2166,150.910004,-33.88813;;
115,Sydney,Camellia,NSW,2142,151.024567,-33.819672;;;
116,Sydney,Bow;Bowing,NSW,2566,150.836258,-34.01759;;
117,Sydney,Cammeray,NSW,2062,151.215324,-33.82308;;;
118,Sydney,Bowen;Mountain,NSW,2753,150.645966,-33.572521;;
119,Sydney,Camperdown,NSW,2050,151.181595,-33.888649;;;
120,Sydney,Box;Hill,NSW,2765,150.906433,-33.667294;;
121,Sydney,Campsie,NSW,2194,151.10318,-33.90744;;;
122,Sydney,Bradbury,NSW,2560,150.812454,-34.084148;;;
123,Sydney,Canada;Bay,NSW,2046,151.116348,-33.863159;;
124,Sydney,Canley;Heights,NSW,2166,150.925766,-33.883888;;
125,Sydney,Canley;Vale,NSW,2166,150.942719,-33.887058;;
126,Sydney,Bringelly,NSW,2556,150.732727,-33.940063;;;
127,Sydney,Canoelands,NSW,2157,151.059616,-33.507298;;;
128,Sydney,Canterbury,NSW,2193,151.114868,-33.913929;;;
129,Sydney,Carlingford,NSW,2118,151.055786,-33.779968;;;
131,Sydney,Bullaburra,NSW,2784,151.129913,-34.04393;;;
133,Sydney,Burraneer,NSW,2230,151.137177,-34.06506;;;
134,Sydney,Carlton,NSW,2218,151.129166,-33.973888;;;
136,Sydney,Carramar,NSW,2163,150.967529,-33.884949;;;
137,Sydney,Carss;Park,NSW,2221,151.116211,-33.984531;;
138,Sydney,Cartwright,NSW,2168,150.890167,-33.925819;;;
139,Sydney,Castle;Cove,NSW,2069,151.201736,-33.78199;;
140,Sydney,Castle;Hill,NSW,2154,151.003815,-33.73177;;
141,Sydney,Cambridge;Gardens,NSW,2747,150.721222,-33.734921;;
142,Sydney,Castlecrag,NSW,2068,151.212097,-33.802399;;;
143,Sydney,Cambridge;Park,NSW,2747,150.721436,-33.747681;;
144,Sydney,Casula,NSW,2170,150.903976,-33.949791;;;
145,Sydney,Camden,NSW,2570,150.693954,-34.056381;;;
147,Sydney,Camden;Park,NSW,2570,150.721176,-34.088379;;
148,Sydney,Cecil;Hills,NSW,2171,150.856323,-33.893959;;
149,Sydney,Camden;South,NSW,2570,150.694427,-34.07795;;
150,Sydney,Cecil;Park,NSW,2178,150.825027,-33.859982;;
151,Sydney,Centennial;Park,NSW,2021,151.230667,-33.89452;;
152,Sydney,Chatswood,NSW,2067,151.183853,-33.79607;;;
153,Sydney,Campbelltown,NSW,2560,150.816589,-34.064098;;;
154,Sydney,Chatswood;West,NSW,2067,151.176117,-33.795689;;
156,Sydney,Cheltenham,NSW,2119,151.079437,-33.755852;;;
157,Sydney,Cherrybrook,NSW,2126,151.041367,-33.721001;;;
158,Sydney,Chester;Hill,NSW,2162,151.000137,-33.882999;;
159,Sydney,Chifley,NSW,2036,151.241959,-33.966179;;;
160,Sydney,Chippendale,NSW,2008,151.198074,-33.888489;;;
161,Sydney,Chipping;Norton,NSW,2170,150.961731,-33.91716;;
162,Sydney,Caringbah,NSW,2229,151.121216,-34.042912;;;
163,Sydney,Chiswick,NSW,2046,151.138657,-33.84964;;;
164,Sydney,Chullora,NSW,2190,151.047623,-33.89328;;;
165,Sydney,Church;Point,NSW,2105,151.284454,-33.644852;;
166,Sydney,Clareville,NSW,2107,151.313324,-33.634899;;;
167,Sydney,Clemton;Park,NSW,2206,151.103851,-33.92519;;
168,Sydney,Clontarf,NSW,2093,151.253082,-33.799309;;;
169,Sydney,Clovelly,NSW,2031,151.262024,-33.91264;;;
171,Sydney,Clyde,NSW,2142,151.020279,-33.834202;;;
